,,,,,,,,,,,Price,,,,,,,,,Shopee,,,,Laz
Brand,Catagory,Type,SKU,Reference Name,Variation Name,Set Number,File Name,Simplyprint File ID,Weight (g),Print Time,MY,SG,Listing Title,Listing Description,Ref,Files,Express,Pictures,Seal Sticker,My,SG,TH,PH,My
Blocked Off,DC,DS,BO-DC-70916-DS,The Batwing - 70916 - DS,Base - Text,70916,The Batwing-70916 - DS - 92g-138m-a1 | The Batwing-70916 - PLATE - 5g-16m-a1m,,92,138,33.00,26.00,Display Stand for Lego Batman Movie DC The Batwing (70916),"Lego NOT Included - Display Stands ONLY
Lego TIDAK Termasuk - Display Stand SAHAJA
Lego不包括在内 - 仅展示架

Product Description:
- Display stand specifically designed for LEGO Batman Movie DC The Batwing 70916 
- Constructed with strong and durable PLA+ material
- Easy to assemble
- Secure construction

Package Contents:
- 1x Display Stand Set

Disclaimer:
- LEGO set is NOT included
- Parts may contain small cosmetic imperfections approximately 1-3mm in size due to small variations during the 3D printing process.",https://stawiamklocki.pl/shop/pola-produktow/standardowa-podstawka-lego/podstawka-do-lego-batman-movie-70916-the-batwing/,https://drive.google.com/drive/folders/1KP5He-f2jAJCckve87HVb1wai2565TZU?usp=drive_link,https://new.express.adobe.com/id/urn:aaid:sc:AP:7226e171-a58a-548e-8417-ef38a51c32a7?invite=true&accept=true&promoid=Z662FLTQ&mv=other?preload=sharesheet,https://drive.google.com/drive/folders/1jMRF6EzoYloLgKQrvW6FN6Hpgsrexx7g?usp=drive_link,,https://seller.shopee.com.my/portal/product/27602962690,https://seller.shopee.sg/portal/product/26104370229,https://seller.shopee.co.th/portal/product/54350716985,https://seller.shopee.ph/portal/product/57050721861,https://sellercenter.lazada.com.my/apps/product/publish?spm=a1zawi.24863640.table_online_product.d_action_edit.5d094edfknX6td&productId=4131459202
Blocked Off,DC,DS-NP,BO-DC-70916-DS-NP,The Batwing - 70916 - DS-NP,Base - Blank,70916,The Batwing-70916 - DS-NP - 93g-136m-a1,,93,136,33.00,26.00,Display Stand for Lego Batman Movie DC The Batwing (70916),"Lego NOT Included - Display Stands ONLY
Lego TIDAK Termasuk - Display Stand SAHAJA
Lego不包括在内 - 仅展示架

Product Description:
- Display stand specifically designed for LEGO Batman Movie DC The Batwing 70916 
- Constructed with strong and durable PLA+ material
- Easy to assemble
- Secure construction

Package Contents:
- 1x Display Stand Set

Disclaimer:
- LEGO set is NOT included
- Parts may contain small cosmetic imperfections approximately 1-3mm in size due to small variations during the 3D printing process.",https://stawiamklocki.pl/shop/pola-produktow/standardowa-podstawka-lego/podstawka-do-lego-batman-movie-70916-the-batwing/,https://drive.google.com/drive/folders/1KP5He-f2jAJCckve87HVb1wai2565TZU?usp=drive_link,https://new.express.adobe.com/id/urn:aaid:sc:AP:7226e171-a58a-548e-8417-ef38a51c32a7?invite=true&accept=true&promoid=Z662FLTQ&mv=other?preload=sharesheet,https://drive.google.com/drive/folders/1jMRF6EzoYloLgKQrvW6FN6Hpgsrexx7g?usp=drive_link,,https://seller.shopee.com.my/portal/product/27602962690,https://seller.shopee.sg/portal/product/26104370229,https://seller.shopee.co.th/portal/product/54350716985,https://seller.shopee.ph/portal/product/57050721861,https://sellercenter.lazada.com.my/apps/product/publish?spm=a1zawi.24863640.table_online_product.d_action_edit.5d094edfknX6td&productId=4131459202
Blocked Off,DC,DS,BO-DC-76265-DS,Batwing: Batman vs. The Joker - 76265 - DS,Base - Text,76265,Batwing Batman vs. The Joker-76265 - DS - 54g-97m-a1m | Batwing Batman vs. The Joker-76265 - PLATE - 5g-16m-a1m,,54,97,27.00,16.00,Display Stand for Lego DC Batwing: Batman vs. The Joker (76265),"Lego NOT Included - Display Stands ONLY
Lego TIDAK Termasuk - Display Stand SAHAJA
Lego不包括在内 - 仅展示架

Product Description:
- Display stand specifically designed for LEGO DC Batwing: Batman vs. The Joker 76265 
- Constructed with strong and durable PLA+ material
- Easy to assemble
- Secure construction

Package Contents:
- 1x Display Stand Set

Disclaimer:
- LEGO set is NOT included
- Parts may contain small cosmetic imperfections approximately 1-3mm in size due to small variations during the 3D printing process.",https://stawiamklocki.pl/shop/pola-produktow/standardowa-podstawka-lego/podstawka-pod-lego-star-wars-batwing-batman-vs-the-joker/,https://drive.google.com/drive/folders/1UCN2t-Us3J4zcclqbxmjREDW9cm-uVQY?usp=drive_link,https://new.express.adobe.com/id/urn:aaid:sc:AP:f4e8d1e3-e440-5e02-9fc3-04c5f85b4c79?invite=true&accept=true&promoid=Z662FLTQ&mv=other?preload=sharesheet,https://drive.google.com/drive/folders/1po_jLmeSoGtb4BAi0Oh7G91tDK5H8Rpg?usp=drive_link,,https://seller.shopee.com.my/portal/product/27902962893,https://seller.shopee.sg/portal/product/26304370072,,https://seller.shopee.ph/portal/product/43676081317,https://sellercenter.lazada.com.my/apps/product/publish?spm=a1zawi.24863640.table_online_product.d_action_edit.5d094edfknX6td&productId=4131439184
Blocked Off,DC,DS-NP,BO-DC-76265-DS-NP,Batwing: Batman vs. The Joker - 76265 - DS-NP,Base - Blank,76265,Batwing Batman vs. The Joker-76265 - DS-NP - 55g-96m-a1m,,55,96,27.00,16.00,Display Stand for Lego DC Batwing: Batman vs. The Joker (76265),"Lego NOT Included - Display Stands ONLY
Lego TIDAK Termasuk - Display Stand SAHAJA
Lego不包括在内 - 仅展示架

Product Description:
- Display stand specifically designed for LEGO DC Batwing: Batman vs. The Joker 76265 
- Constructed with strong and durable PLA+ material
- Easy to assemble
- Secure construction

Package Contents:
- 1x Display Stand Set

Disclaimer:
- LEGO set is NOT included
- Parts may contain small cosmetic imperfections approximately 1-3mm in size due to small variations during the 3D printing process.",https://stawiamklocki.pl/shop/pola-produktow/standardowa-podstawka-lego/podstawka-pod-lego-star-wars-batwing-batman-vs-the-joker/,https://drive.google.com/drive/folders/1UCN2t-Us3J4zcclqbxmjREDW9cm-uVQY?usp=drive_link,https://new.express.adobe.com/id/urn:aaid:sc:AP:f4e8d1e3-e440-5e02-9fc3-04c5f85b4c79?invite=true&accept=true&promoid=Z662FLTQ&mv=other?preload=sharesheet,https://drive.google.com/drive/folders/1po_jLmeSoGtb4BAi0Oh7G91tDK5H8Rpg?usp=drive_link,,https://seller.shopee.com.my/portal/product/27902962893,https://seller.shopee.sg/portal/product/26304370072,,https://seller.shopee.ph/portal/product/43676081317,https://sellercenter.lazada.com.my/apps/product/publish?spm=a1zawi.24863640.table_online_product.d_action_edit.5d094edfknX6td&productId=4131439184
Blocked Off,DC,WM,BO-DC-76240-WM,Batmobile Tumbler - 76240 - WM,,76240,Batmobile Tumbler-76240 - WM - 58g-83m-a1m,,58,83,23.00,16.00,Wall Mount For Lego Tumbler Batmobile(76240),"Lego NOT Included - Display Stands ONLY
Lego TIDAK Termasuk - Display Stand SAHAJA
Lego不包括在内 - 仅展示架

Descriptions = Explanations = Details
- Compatible with set 76240 
- Display stand wall mount specifically designed for LEGO BATMAN TUMBLER 76240 
- Constructed with strong and durable PLA+ material
- Easy to assemble
- Secure construction

Package = Box = Contain
- 1x Horizontal Wall Mount
- 1x Minifig Wall Mount
- 2x Stud & Wall Screw

Disclaimer =  Warning = Alert 
- LEGO is NOT included
- The wall mount instructions must be followed correctly. We provide no liability for incorrect install of the wall mount.
- Do not wall mount above any person, animal or personal items
- Parts may contain small cosmetic imperfections approximately 1-3mm in size due to small variations during the 3D printing process.",https://cults3d.com/en/3d-model/various/wall-mount-for-lego-tumbler-76240,https://drive.google.com/drive/folders/16_pOwclxHTOH2l1iCsI0pvWnrewfgoch?usp=drive_link,https://new.express.adobe.com/id/urn:aaid:sc:AP:2e513f81-32bc-50b5-b459-dfc913db51dd?invite=true&accept=true&promoid=Z662FLTQ&mv=other?preload=sharesheet,https://drive.google.com/drive/folders/1ab1llqnDp2qUs_-aldxNNQk8YKbjpctT?usp=drive_link,,https://seller.shopee.com.my/portal/product/29351192763,https://seller.shopee.sg/portal/product/27004312121,https://seller.shopee.co.th/portal/product/54350717084,https://seller.shopee.ph/portal/product/40376091317,https://sellercenter.lazada.com.my/apps/product/publish?spm=a1zawi.24863640.table_online_product.d_action_edit.6a714edfkKky7f&productId=4123479977
Blocked Off,DC,WM,BO-DC-76139-WM,1989 Batmobile - 76139 - WM,,76139,to be made,,,,47.00,25.00,Wall Mount For Lego Classic 1989 Batmobile (76139),"Lego NOT Included - Display Stands ONLY
Lego TIDAK Termasuk - Display Stand SAHAJA
Lego不包括在内 - 仅展示架

Descriptions = Explanations = Details
- Compatible with set 76139
- Display stand wall mount specifically designed for LEGO Classic 1989 Batmobile 76139
- Constructed with strong and durable PLA+ material
- Easy to assemble
- Secure construction

Package = Box = Contain
- 1x Horizontal Wall Mount
- 2x Stud & Wall Screw

Disclaimer =  Warning = Alert 
- LEGO is NOT included
- The wall mount instructions must be followed correctly. We provide no liability for incorrect instal of the wall mount.
- Do not wall mount above any person, animal or personal items
- Parts may contain small cosmetic imperfections approximately 1-3mm in size due to small variations during the 3D printing process.",https://cults3d.com/en/3d-model/home/gecko-bricks-wall-mount-for-classic-1989-batmobile-76139,,https://new.express.adobe.com/id/urn:aaid:sc:AP:b0f9e307-c073-4774-8f7b-99af45d67280?invite=true&accept=true&promoid=Z662FLTQ&mv=other?preload=sharesheet,https://drive.google.com/drive/folders/1rKEElr_Szm0pwjXTa454llbGoA7OTUtt?usp=drive_link,,https://seller.shopee.com.my/portal/product/25478080648,https://seller.shopee.sg/portal/product/26954309627,https://seller.shopee.co.th/portal/product/54250717060,https://seller.shopee.ph/portal/product/40076125267,https://sellercenter.lazada.com.my/apps/product/publish?spm=a1zawi.24863640.table_online_product.d_action_edit.6a714edfkKky7f&productId=4123567536
Blocked Off,DC,WM,BO-DC-76328-WM,Batman: The Classic TV Series Batmobile - 76328 - WM,,76328,Batman The Classic TV Series Batmobile-76328 - WM - 183g-238m-a1,,182,180,47.00,25.00,Wall Mount For Lego Classic TV Series Batmobile (76328),"Lego NOT Included - Display Stands ONLY
Lego TIDAK Termasuk - Display Stand SAHAJA
Lego不包括在内 - 仅展示架

Descriptions = Explanations = Details
- Compatible with set 76328
- Display stand wall mount specifically designed for LEGO Classic TV Series Batmobile 76328
- Constructed with strong and durable PLA+ material
- Easy to assemble
- Secure construction

Package = Box = Contain
- 1x Horizontal Wall Mount
- 1x MiniFig Wall Mount
- 2x Stud & Wall Screw

Disclaimer =  Warning = Alert 
- LEGO is NOT included
- The wall mount instructions must be followed correctly. We provide no liability for incorrect install of the wall mount.
- Do not wall mount above any person, animal or personal items
- Parts may contain small cosmetic imperfections approximately 1-3mm in size due to small variations during the 3D printing process.",https://cults3d.com/en/3d-model/home/gecko-bricks-wall-mount-for-classic-tv-series-batmobile-76328,https://drive.google.com/drive/folders/1VN6s0vaPproAO5oa_EQ7L-wbVIG3MLcC?usp=drive_link,https://new.express.adobe.com/id/urn:aaid:sc:AP:3460e149-b855-5764-8993-a77816384352?invite=true&accept=true&promoid=Z662FLTQ&mv=other?preload=sharesheet,https://drive.google.com/drive/folders/1sbgJdkvCjqRZffvoHlpexlYZ0M-L7m3R?usp=drive_link,,https://seller.shopee.com.my/portal/product/27276840226,https://seller.shopee.sg/portal/product/27376840055,https://seller.shopee.co.th/portal/product/54350717106,https://seller.shopee.ph/portal/product/49800741808,https://sellercenter.lazada.com.my/apps/product/publish?spm=a1zawi.24863640.table_online_product.d_action_edit.182b1e13NScjXP&productId=4516519847