h,,,,,,,,,,,Price,,,,,,,,,Shopee,,,,Laz
Brand,Catagory,SKU,Type,Listing Variation Name,Reference Name,Set Number,File Name,Simplyprint File ID,Weight (g),Print Time,MY,SG,Listing Title,Listing Description,Ref,Files,Express,Pictures,Seal Sticker,My,SG,TH,PH,My
Blocked Off,Marvel,BLO-MVL-76254-DS,DS,Base - Text,Baby Rocket's Ship - 76254 - DS,76254,Baby Rocket's Ship-76254 - DS - 47g-90m-a1m.gcode | Baby Rocket's Ship-76254 - PLATE-a1m.gcode.,,47,90,23.00,18.00,Display Stand for Lego Marvel Baby Rocket's Ship (76254),"Lego NOT Included - Display Stands ONLY
Lego TIDAK Termasuk - Display Stand SAHAJA
Lego不包括在内 - 仅展示架

Product Description:
- Display stand specifically designed for LEGO Marvel Baby Rocket's Ship 76254 
- Constructed with strong and durable PLA+ material
- Easy to assemble
- Secure construction

Package Contents:
- 1x Display Stand Set

Disclaimer:
- LEGO set is NOT included
- Parts may contain small cosmetic imperfections approximately 1-3mm in size due to small variations during the 3D printing process.",https://stawiamklocki.pl/shop/pola-produktow/standardowa-podstawka-lego/podstawka-pod-lego-star-wars-76254-baby-rockets-ship-statek-kosmiczny-malego-rocketa/,,https://new.express.adobe.com/id/urn:aaid:sc:AP:9d3a5b15-83c2-55e6-a349-5848ef2b9e55?invite=true&accept=true&promoid=Z662FLTQ&mv=other?preload=sharesheet,https://drive.google.com/drive/folders/1giWfEqGhd2ncdGqoHJ6G5TH1E6ERnUaB?usp=drive_link,,https://seller.shopee.com.my/portal/product/26752967257,https://seller.shopee.sg/portal/product/26554367547,https://seller.shopee.co.th/portal/product/47050742006?pageEntry=product_list,https://seller.shopee.ph/portal/product/40176091336?pageEntry=product_list,https://sellercenter.lazada.com.my/apps/product/publish?spm=a1zawi.24863640.table_online_product.d_action_edit.5d094edfknX6td&productId=4131448189
Blocked Off,Marvel,BLO-MVL-76254-DS-NP,DS-NP,Base - Blank,Baby Rocket's Ship - 76254 - DS-NP,76254,Baby Rocket's Ship-76254 - DS-NP - 47g-90m-a1m.gcode,,47,90,23.00,18.00,Display Stand for Lego Marvel Baby Rocket's Ship (76254),"Lego NOT Included - Display Stands ONLY
Lego TIDAK Termasuk - Display Stand SAHAJA
Lego不包括在内 - 仅展示架

Product Description:
- Display stand specifically designed for LEGO Marvel Baby Rocket's Ship 76254 
- Constructed with strong and durable PLA+ material
- Easy to assemble
- Secure construction

Package Contents:
- 1x Display Stand Set

Disclaimer:
- LEGO set is NOT included
- Parts may contain small cosmetic imperfections approximately 1-3mm in size due to small variations during the 3D printing process.",,,,,,,,,,
Blocked Off,Marvel,BLO-MVL-76292-DS,DS,Base - Text,Captain America vs Red Hulk Battle - 76292 - DS,76292,Captain America vs. Red Hulk Battle-76292 - DS - 67g-112m-a1.gcode | Captain America vs. Red Hulk Battle-76292 - PLATE-a1m.gcode,,67,112,27.00,18.00,Display Stand for Lego Marvel Captain America vs. Red Hulk Battle (76292),"Lego NOT Included - Display Stands ONLY
Lego TIDAK Termasuk - Display Stand SAHAJA
Lego不包括在内 - 仅展示架

Product Description:
- Display stand specifically designed for LEGO Marvel Captain America vs. Red Hulk Battle 76292
- Constructed with strong and durable PLA+ material
- Easy to assemble
- Secure construction

Package Contents:
- 1x Display Stand Set

Disclaimer:
- LEGO set is NOT included
- Parts may contain small cosmetic imperfections approximately 1-3mm in size due to small variations during the 3D printing process.",https://stawiamklocki.pl/shop/pola-produktow/standardowa-podstawka-lego/podstawka-do-lego-marvel-76292-captain-america-vs-red-hulk-battle/,,https://new.express.adobe.com/id/urn:aaid:sc:AP:add6a278-e281-5d05-8559-d04807832ae6?invite=true&accept=true&promoid=Z662FLTQ&mv=other?preload=sharesheet,https://drive.google.com/drive/folders/1gkOjdET7Li1bYRc-PVxUTqz-iefW0WmD?usp=drive_link,,https://seller.shopee.com.my/portal/product/27726764998,https://seller.shopee.sg/portal/product/24441632419,https://seller.shopee.co.th/portal/product/44026095627?pageEntry=product_list,https://seller.shopee.co.th/portal/product/list/all?operationSortBy=modified_time,https://sellercenter.lazada.com.my/apps/product/publish?spm=a1zawi.24863640.table_online_product.d_action_edit.9b7c1e13c5yB4i&productId=4516224187
Blocked Off,Marvel,BLO-MVL-76292-DS-NP,DS-NP,Base - Blank,Captain America vs Red Hulk Battle - 76292 - DS-NP,76292,Captain America vs. Red Hulk Battle-76292 - DS-NP - 70g-112m-a1.gcode,,70,112,27.00,18.00,Display Stand for Lego Marvel Captain America vs. Red Hulk Battle (76292),"Lego NOT Included - Display Stands ONLY
Lego TIDAK Termasuk - Display Stand SAHAJA
Lego不包括在内 - 仅展示架

Product Description:
- Display stand specifically designed for LEGO Marvel Captain America vs. Red Hulk Battle 76292
- Constructed with strong and durable PLA+ material
- Easy to assemble
- Secure construction

Package Contents:
- 1x Display Stand Set

Disclaimer:
- LEGO set is NOT included
- Parts may contain small cosmetic imperfections approximately 1-3mm in size due to small variations during the 3D printing process.",,,,,,,,,,
Blocked Off,Marvel,BLO-MVL-76286-WM,WM,,Guardians of the Galaxy Milano - 76286 - WM,76286,Guardians of the Galaxy Milano-76286 - WM -282g-406m-a1.gcode,,282,406,89.00,47.00,Wall Mount For Lego Marvel Guardians of the Galaxy The Milano (76286),"Lego NOT Included - Display Stands ONLY
Lego TIDAK Termasuk - Display Stand SAHAJA
Lego不包括在内 - 仅展示架

Descriptions = Explanations = Details
- Compatible with set 76286
- Display stand wall mount specifically designed for LEGO Guardians of the Galaxy Milano 76286
- Constructed with strong and durable PLA+ material
- Easy to assemble
- Secure construction

Package = Box = Contain
- 1x Horizontal Wall Mount
- 1x Stud & Wall Screw

Disclaimer =  Warning = Alert 
- LEGO is NOT included
- The wall mount instructions must be followed correctly. We provide no liability for incorrect install of the wall mount.
- Do not wall mount above any person, animal or personal items
- Parts may contain small cosmetic imperfections approximately 1-3mm in size due to small variations during the 3D printing process.",https://cults3d.com/en/3d-model/home/gecko-bricks-wall-mount-for-the-marvel-guardians-of-the-galaxy-milano-76286,,https://new.express.adobe.com/id/urn:aaid:sc:AP:89ce2402-d2b6-538f-bc5f-0136677951a2?invite=true&accept=true&promoid=Z662FLTQ&mv=other?preload=sharesheet,https://drive.google.com/drive/folders/1QgF3lPeMpBjILK1dB1bh_Emuzq9JlMQP?usp=drive_link,,https://seller.shopee.com.my/portal/product/29726766250,https://seller.shopee.sg/portal/product/28676775361,https://seller.shopee.co.th/portal/product/51150727024?pageEntry=product_list,https://seller.shopee.ph/portal/product/49900741922?pageEntry=product_list,https://sellercenter.lazada.com.my/apps/product/publish?spm=a1zawi.24863640.table_online_product.d_action_edit.9b7c1e13c5yB4i&productId=4516226168
Blocked Off,Marvel,BLO-MVL-76217-WM,WM,,I Am Groot - 76217 - WM,76217,I am Groot-76217 - WM - 85g-120m-a1m.gcode,,85,120,27.00,15.00,Wall Mount For Lego Marvel I Am Groot (76217),"Lego NOT Included - Display Stands ONLY
Lego TIDAK Termasuk - Display Stand SAHAJA
Lego不包括在内 - 仅展示架

Descriptions = Explanations = Details
- Compatible with set 76217
- Display stand wall mount specifically designed for LEGO Marvel I AM GROOT 76217
- Constructed with strong and durable PLA+ material
- Easy to assemble
- Secure construction

Package = Box = Contain
- 1x Horizontal Wall Mount
- 1x Stud & Wall Screw

Disclaimer =  Warning = Alert 
- LEGO is NOT included
- The wall mount instructions must be followed correctly. We provide no liability for incorrect install of the wall mount.
- Do not wall mount above any person, animal or personal items
- Parts may contain small cosmetic imperfections approximately 1-3mm in size due to small variations during the 3D printing process.",https://cults3d.com/en/3d-model/home/gecko-bricks-wall-mount-for-marvel-i-am-groot-76217,,https://new.express.adobe.com/id/urn:aaid:sc:AP:8eca7aee-3c36-55ef-8ff5-9946664f41e5?invite=true&accept=true&promoid=Z662FLTQ&mv=other?preload=sharesheet,https://drive.google.com/drive/folders/1hF24cVfUdN-Fiw6cgPOd39k_YH9WUAq9?usp=drive_link,,https://seller.shopee.com.my/portal/product/27201093102,https://seller.shopee.sg/portal/product/24432972797,https://seller.shopee.co.th/portal/product/51150727042?pageEntry=product_list,https://seller.shopee.ph/portal/product/49900741811?pageEntry=product_list,https://sellercenter.lazada.com.my/apps/product/publish?spm=a1zawi.24863640.table_online_product.d_action_edit.6a714edfcBQlvp&productId=4123554592
Blocked Off,Marvel,BLO-MVL-76288-DS,DS,Base - Text,Iron Man & Iron Legion vs Hydra Soldier - 76288 - DS,76288,Iron Man & Iron Legion vs. Hydra Soldier-76288 - DS - 41g-64m-a1m.gcode | Iron Man & Iron Legion vs. Hydra Soldier-76288 - PLATE-a1m.gcode,,42,64,17.00,15.00,Display Stand for Lego Marvel Iron Man & Iron Legion vs. Hydra Soldier (76288),"Lego NOT Included - Display Stands ONLY
Lego TIDAK Termasuk - Display Stand SAHAJA
Lego不包括在内 - 仅展示架

Product Description:
- Display stand specifically designed for LEGO Marvel Iron Man & Iron Legion vs. Hydra Soldier 76288
- Constructed with strong and durable PLA+ material
- Easy to assemble
- Secure construction

Package Contents:
- 1x Display Stand Set

Disclaimer:
- LEGO set is NOT included
- Parts may contain small cosmetic imperfections approximately 1-3mm in size due to small variations during the 3D printing process.",https://stawiamklocki.pl/shop/pola-produktow/podstawka-biala/podstawka-do-lego-marvel-76288-iron-man-iron-legion-vs-hydra-soldier/,,https://new.express.adobe.com/id/urn:aaid:sc:AP:c96240ba-3cd4-5635-97df-0b1dc0dd843e?invite=true&accept=true&promoid=Z662FLTQ&mv=other?preload=sharesheet,https://drive.google.com/drive/folders/1iddXbuDXOAE1aP9tqj5EV203pafKAEqy?usp=drive_link,,https://seller.shopee.com.my/portal/product/26776770459,https://seller.shopee.sg/portal/product/25041632376,https://seller.shopee.co.th/portal/product/47050742027?pageEntry=product_list,https://seller.shopee.ph/portal/product/52200726821?pageEntry=product_list,https://sellercenter.lazada.com.my/apps/product/publish?spm=a1zawi.24863640.table_online_product.d_action_edit.9b7c1e13c5yB4i&productId=4516046822
Blocked Off,Marvel,BLO-MVL-76288-DS-NP,DS-NP,Base - Blank,Iron Man & Iron Legion vs Hydra Soldier - 76288 - DS-NP,76288,Iron Man & Iron Legion vs. Hydra Soldier-76288 - DS-NP - 41g-64m-a1m.gcode,,42,64,17.00,15.00,Display Stand for Lego Marvel Iron Man & Iron Legion vs. Hydra Soldier (76288),"Lego NOT Included - Display Stands ONLY
Lego TIDAK Termasuk - Display Stand SAHAJA
Lego不包括在内 - 仅展示架

Product Description:
- Display stand specifically designed for LEGO Marvel Iron Man & Iron Legion vs. Hydra Soldier 76288
- Constructed with strong and durable PLA+ material
- Easy to assemble
- Secure construction

Package Contents:
- 1x Display Stand Set

Disclaimer:
- LEGO set is NOT included
- Parts may contain small cosmetic imperfections approximately 1-3mm in size due to small variations during the 3D printing process.",,,,,,,,,,
Blocked Off,Marvel,BLO-MVL-76282-WM,WM,,Rocket & Baby Groot - 76282 - WM,76282,Rocket & Baby Groot-76282 - WM - 86g-120m-a1m.gcode,,86,120,27.00,15.00,Wall Mount For Lego Marvel Rocket And Baby Groot (76282),"Lego NOT Included - Display Stands ONLY
Lego TIDAK Termasuk - Display Stand SAHAJA
Lego不包括在内 - 仅展示架

Descriptions = Explanations = Details
- Compatible with set 76282
- Display stand wall mount specifically designed for Lego Marvel Rocket And Baby Groot (76282)
- Constructed with strong and durable PLA+ material
- Easy to assemble
- Secure construction

Disclaimer =  Warning = Alert 
- LEGO is NOT included
- The wall mount instructions must be followed correctly. We provide no liability for incorrect install of the wall mount.
- Do not wall mount above any person, animal or personal items
- Parts may contain small cosmetic imperfections approximately 1-3mm in size due to small variations during the 3D printing process.",https://cults3d.com/en/3d-model/home/gecko-bricks-wall-mount-for-lego-marvel-rocket-and-baby-groot-76282,,https://new.express.adobe.com/id/urn:aaid:sc:AP:5f15ca9f-3481-5067-b06f-16ac71a2f330?invite=true&accept=true&promoid=Z662FLTQ&mv=other?preload=sharesheet,https://drive.google.com/drive/folders/1_stir6SC7IK8WVEI_mqU4AhN4g3kCPly?usp=drive_link,,https://seller.shopee.com.my/portal/product/25683859745,https://seller.shopee.sg/portal/product/28106055192,https://seller.shopee.co.th/portal/product/46950742091?pageEntry=product_list,https://seller.shopee.ph/portal/product/40076125253?pageEntry=product_list,https://sellercenter.lazada.com.my/apps/product/publish?spm=a1zawi.24863640.table_online_product.d_action_edit.82204edfIoOH3D&productId=4195967141
Blocked Off,Marvel,BLO-MVL-76278-DS,DS,Base - Text,Rocket's Warbird vs Ronan - 76278 - DS,76278,Rocket's Warbird vs. Ronan-76278 - DS - 49g-90m-a1m.gcode | Rocket's Warbird vs. Ronan-76278 - PLATE-a1m.gcode,,49,90,23.00,18.00,Display Stand for Lego Marvel Rocket's Warbird vs. Ronan (76278),"Lego NOT Included - Display Stands ONLY
Lego TIDAK Termasuk - Display Stand SAHAJA
Lego不包括在内 - 仅展示架

Product Description:
- Display stand specifically designed for LEGO Marvel Rocket's Warbird vs. Ronan 76278 
- Constructed with strong and durable PLA+ material
- Easy to assemble
- Secure construction

Package Contents:
- 1x Display Stand Set

Disclaimer:
- LEGO set is NOT included
- Parts may contain small cosmetic imperfections approximately 1-3mm in size due to small variations during the 3D printing process.",https://stawiamklocki.pl/shop/podstawki-pod-klocki/marvel-dc/podstawka-do-lego-marvel-76278-rockets-warbird-vs-ronan/,,https://new.express.adobe.com/id/urn:aaid:sc:AP:b722b601-ad78-5474-a2bc-b87a5c0380fa?invite=true&accept=true&promoid=Z662FLTQ&mv=other?preload=sharesheet,https://drive.google.com/drive/folders/1RtjQSgQAq2nBWRX7mCjumqRlbpH3vcyx?usp=drive_link,,https://seller.shopee.com.my/portal/product/27152967124,https://seller.shopee.sg/portal/product/29254370290,https://seller.shopee.co.th/portal/product/47200737100?pageEntry=product_list,https://seller.shopee.ph/portal/product/53000726789?pageEntry=product_list,https://sellercenter.lazada.com.my/apps/product/publish?spm=a1zawi.24863640.table_online_product.d_action_edit.5d094edfknX6td&productId=4131445187
Blocked Off,Marvel,BLO-MVL-76278-DS-NP,DS-NP,Base - Blank,Rocket's Warbird vs Ronan - 76278 - DS-NP,76278,Rocket's Warbird vs. Ronan-76278 - DS-NP - 52g-90m-a1m.gcode,,52,90,23.00,18.00,Display Stand for Lego Marvel Rocket's Warbird vs. Ronan (76278),"Lego NOT Included - Display Stands ONLY
Lego TIDAK Termasuk - Display Stand SAHAJA
Lego不包括在内 - 仅展示架

Product Description:
- Display stand specifically designed for LEGO Marvel Rocket's Warbird vs. Ronan 76278 
- Constructed with strong and durable PLA+ material
- Easy to assemble
- Secure construction

Package Contents:
- 1x Display Stand Set

Disclaimer:
- LEGO set is NOT included
- Parts may contain small cosmetic imperfections approximately 1-3mm in size due to small variations during the 3D printing process.",,,,,,,,,,
Blocked Off,Marvel,BLO-MVL-76211-DS,DS,Base - Text,Shuri's Sunbird - 76211 - DS,76211,Shuri's Sunbird-76211 - DS - 71g-110m-a1.gcode | Shuri's Sunbird-76211 - PLATE-a1m.gcode,,71,110,27.00,18.00,Display Stand for Lego Marvel Shuri's Sunbird / Shuri's Ship (76211),"Lego NOT Included - Display Stands ONLY
Lego TIDAK Termasuk - Display Stand SAHAJA
Lego不包括在内 - 仅展示架

Product Description:
- Display stand specifically designed for LEGO Marvel Shuri's Sunbird / Shuri's Ship 76211 
- Constructed with strong and durable PLA+ material
- Easy to assemble
- Secure construction

Package Contents:
- 1x Display Stand Set

Disclaimer:
- LEGO set is NOT included
- Parts may contain small cosmetic imperfections approximately 1-3mm in size due to small variations during the 3D printing process.",https://stawiamklocki.pl/shop/pola-produktow/standardowa-podstawka-lego/podstawka-pod-lego-star-wars-76211-shuris-sunbird/,,https://new.express.adobe.com/id/urn:aaid:sc:AP:83e9f986-74c8-5068-8e89-dc1289fb6d3e?invite=true&accept=true&promoid=Z662FLTQ&mv=other?preload=sharesheet,https://drive.google.com/drive/folders/1dKxGKKqU7bsbsqQrUFls5lehA8V5c08k?usp=drive_link,,https://seller.shopee.com.my/portal/product/28652962801,https://seller.shopee.sg/portal/product/28754370200,https://seller.shopee.co.th/portal/product/54050712184?pageEntry=product_list,https://seller.shopee.ph/portal/product/40676086365?pageEntry=product_list,https://sellercenter.lazada.com.my/apps/product/publish?spm=a1zawi.24863640.table_online_product.d_action_edit.5d094edfknX6td&productId=4131449191
Blocked Off,Marvel,BLO-MVL-76211-DS-NP,DS-NP,Base - Blank,Shuri's Sunbird - 76211 - DS-NP,76211,Shuri's Sunbird-76211 - DS-NP - 74g-110m-a1.gcode,,74,110,27.00,18.00,Display Stand for Lego Marvel Shuri's Sunbird / Shuri's Ship (76211),"Lego NOT Included - Display Stands ONLY
Lego TIDAK Termasuk - Display Stand SAHAJA
Lego不包括在内 - 仅展示架

Product Description:
- Display stand specifically designed for LEGO Marvel Shuri's Sunbird / Shuri's Ship 76211 
- Constructed with strong and durable PLA+ material
- Easy to assemble
- Secure construction

Package Contents:
- 1x Display Stand Set

Disclaimer:
- LEGO set is NOT included
- Parts may contain small cosmetic imperfections approximately 1-3mm in size due to small variations during the 3D printing process.",,,,,,,,,,
